rainfall_mm,slope_degree,soil_moisture,ground_movement,temperature,risk_label
155.64,18.65,38.12,7.51,19.16,MODERATE
5.79,36.03,10.0,6.71,25.81,LOW
255.79,37.38,72.78,12.89,31.52,HIGH
36.24,27.57,10.42,4.83,17.51,LOW
164.51,34.6,46.84,7.86,24.94,MODERATE
63.94,28.22,29.67,6.59,24.83,LOW
277.93,44.31,70.01,10.17,11.13,MODERATE
17.71,45.96,21.51,6.33,29.0,LOW
88.85,40.46,40.34,7.3,36.59,MODERATE
57.77,19.67,31.35,5.26,24.83,LOW
145.16,24.94,34.56,5.65,32.16,LOW
152.57,26.01,49.2,6.79,16.47,MODERATE
172.34,17.09,54.17,7.48,19.69,MODERATE
208.03,23.45,57.72,14.94,24.43,MODERATE
203.75,24.22,62.33,7.7,18.88,MODERATE
167.65,60.82,54.1,11.6,24.23,MODERATE
217.56,55.86,62.14,10.75,30.02,MODERATE
88.02,20.54,26.33,8.24,18.7,LOW
135.44,51.59,44.58,9.24,30.29,MODERATE
60.87,50.03,43.33,11.63,12.46,MODERATE
70.01,47.47,27.26,7.43,20.59,MODERATE
17.7,15.06,27.27,6.15,22.82,LOW
103.37,31.26,38.05,6.52,18.44,LOW
127.48,44.69,36.64,7.92,20.67,MODERATE
127.13,14.55,40.6,5.02,32.38,LOW
178.9,13.82,54.22,6.18,31.44,MODERATE
61.83,50.79,33.84,10.49,28.32,MODERATE
210.92,38.21,80.44,11.78,30.25,HIGH
222.24,41.4,64.33,10.07,20.28,MODERATE
234.93,12.22,56.84,11.11,16.66,MODERATE
130.67,32.16,30.51,6.59,19.15,MODERATE
158.77,44.2,46.55,13.39,20.05,MODERATE
130.36,54.18,34.65,8.52,20.34,MODERATE
158.75,23.24,54.39,10.2,27.17,MODERATE
189.21,30.44,61.15,7.96,25.94,MODERATE
15.32,35.5,17.2,6.11,22.95,LOW
46.98,34.41,30.6,6.71,23.32,LOW
61.06,20.85,28.95,5.52,30.57,LOW
119.1,23.43,56.14,8.04,16.25,MODERATE
74.37,27.93,36.37,6.44,28.74,MODERATE
145.2,44.54,54.11,18.26,11.33,MODERATE
258.46,33.96,60.28,13.84,20.6,HIGH
38.49,20.63,14.1,8.09,33.06,LOW
287.5,45.97,82.08,16.96,25.81,HIGH
76.35,29.9,19.4,6.9,21.2,LOW
172.76,37.95,48.01,14.35,29.49,MODERATE
165.1,43.8,60.76,12.58,27.57,MODERATE
141.85,30.5,41.04,7.14,27.33,MODERATE
78.73,48.36,22.64,8.95,22.79,MODERATE
47.9,24.85,30.88,8.6,29.76,LOW
183.45,45.36,71.95,12.16,20.14,HIGH
204.41,29.13,53.5,8.02,19.85,MODERATE
130.9,43.07,53.59,8.7,35.25,MODERATE
215.79,39.32,55.01,10.82,21.0,MODERATE
45.09,34.57,24.02,9.96,11.81,LOW
262.49,41.71,72.2,10.62,30.37,MODERATE
154.01,30.57,42.63,6.71,32.17,MODERATE
104.23,24.89,44.93,6.68,22.59,LOW
126.29,21.29,30.47,5.88,11.43,LOW
108.78,31.41,40.49,6.95,23.67,MODERATE
207.87,48.99,69.32,11.86,36.43,MODERATE
215.08,30.17,68.66,13.62,25.22,MODERATE
218.59,50.63,67.02,12.09,28.62,HIGH
161.6,47.53,63.23,10.49,28.96,MODERATE
10.63,33.3,15.58,8.69,29.83,LOW
233.8,49.79,54.24,10.57,35.18,MODERATE
131.05,40.69,44.91,7.87,30.48,MODERATE
292.38,40.8,78.32,11.38,23.52,HIGH
144.67,20.18,29.9,6.0,17.3,MODERATE
71.52,32.45,21.73,7.72,26.58,LOW
47.13,25.89,15.35,7.95,22.84,LOW
80.8,58.81,26.26,8.55,28.3,MODERATE
123.85,37.32,39.44,7.14,18.82,LOW
224.79,62.63,61.95,11.33,22.2,HIGH
135.89,36.81,38.66,8.79,24.07,MODERATE
44.58,50.42,14.78,8.6,18.36,MODERATE
14.97,37.31,21.31,6.23,24.24,LOW
126.86,39.22,43.84,8.19,28.72,MODERATE
113.68,28.64,41.18,10.79,35.46,LOW
73.74,20.82,45.45,9.45,19.59,LOW
89.56,37.18,36.01,7.0,29.43,MODERATE
116.54,26.64,37.71,7.96,12.13,LOW
59.63,30.45,27.27,6.69,23.95,LOW
116.74,35.23,41.47,7.09,24.42,LOW
122.74,25.92,46.93,7.01,28.89,LOW
125.33,45.98,42.21,8.27,20.88,MODERATE
130.27,41.68,28.12,6.94,25.47,MODERATE
144.85,58.19,43.37,10.72,30.65,MODERATE
280.36,48.92,76.69,11.73,17.24,HIGH
117.95,24.06,51.38,7.27,12.25,MODERATE
149.21,25.57,41.54,7.04,30.48,LOW
211.26,32.6,48.39,7.27,18.01,MODERATE
99.17,37.39,37.33,8.74,26.74,MODERATE
40.03,44.17,30.74,7.65,35.7,MODERATE
132.37,5.6,40.97,4.82,29.02,LOW
110.65,13.03,58.41,11.47,18.17,LOW
80.27,34.07,49.84,8.03,15.23,MODERATE
114.91,26.56,39.7,7.4,19.33,MODERATE
42.98,27.14,25.95,5.54,25.04,LOW
194.75,41.48,68.79,13.02,22.5,MODERATE
145.12,35.52,46.21,10.06,32.17,MODERATE
172.23,52.46,46.46,9.38,28.0,MODERATE
93.14,37.36,42.6,8.91,19.62,MODERATE
262.42,34.73,76.45,9.69,29.08,MODERATE
99.67,9.21,30.47,8.31,33.04,LOW
45.24,26.93,27.19,5.51,22.11,LOW
271.25,49.38,73.39,13.48,26.88,HIGH
241.65,42.98,65.08,10.08,18.75,MODERATE
19.04,35.56,12.9,6.09,23.15,LOW
106.73,31.64,39.45,12.49,18.65,MODERATE
130.54,24.34,41.59,8.9,31.44,MODERATE
30.35,29.37,23.96,5.12,20.99,LOW
183.1,48.52,61.84,10.99,26.64,MODERATE
15.01,39.44,20.16,6.2,27.81,LOW
116.27,38.62,42.57,8.12,38.0,MODERATE
234.38,33.81,62.23,8.97,22.41,MODERATE
59.83,16.85,37.56,5.3,19.34,LOW
159.78,5.0,43.36,5.14,23.57,LOW
138.05,23.63,32.47,5.28,18.9,LOW
101.19,48.32,28.69,8.28,21.08,MODERATE
94.33,52.46,44.03,9.26,28.36,MODERATE
115.81,27.53,44.15,6.8,19.97,MODERATE
194.38,42.11,68.26,11.69,27.37,MODERATE
114.57,42.93,29.62,6.71,27.58,MODERATE
110.22,17.82,57.81,7.13,25.5,LOW
121.3,33.04,39.42,7.24,28.02,MODERATE
117.89,46.45,26.85,7.79,22.23,MODERATE
209.54,56.86,78.66,13.64,11.98,HIGH
90.6,28.88,24.45,5.54,24.36,MODERATE
195.44,5.0,54.81,5.24,24.47,LOW
139.28,26.69,44.0,9.43,21.78,MODERATE
105.33,22.78,41.72,11.56,27.89,LOW
52.0,22.14,20.11,3.85,28.59,LOW
164.76,29.09,59.56,8.86,25.31,MODERATE
122.08,22.81,47.89,6.74,24.59,MODERATE
94.97,23.97,36.05,5.77,31.31,LOW
213.33,38.01,72.53,10.22,17.56,MODERATE
284.73,46.69,77.1,12.36,22.01,HIGH
73.99,5.0,29.07,3.14,29.99,LOW
33.37,33.44,38.33,10.07,27.21,LOW
162.83,33.6,53.19,8.56,22.59,MODERATE
40.14,20.45,15.95,3.91,26.34,LOW
85.41,58.09,26.99,10.14,20.71,MODERATE
74.64,44.86,31.57,7.04,24.97,MODERATE
84.67,36.36,14.44,5.64,28.13,LOW
206.27,21.48,55.32,7.23,31.75,MODERATE
272.79,34.31,74.21,9.99,27.97,MODERATE
277.17,34.05,74.64,9.99,32.18,HIGH
175.86,33.4,43.63,6.88,15.34,MODERATE
118.37,29.64,37.45,6.21,10.72,LOW
221.19,39.84,73.1,10.06,10.91,HIGH
98.71,40.31,44.5,14.3,30.7,MODERATE
167.37,13.78,52.59,5.62,27.62,MODERATE
198.77,39.54,58.18,8.88,19.69,HIGH
204.7,55.39,58.74,15.72,21.69,HIGH
172.87,52.48,54.92,11.13,26.02,MODERATE
66.06,24.71,30.35,5.8,19.66,LOW
78.17,43.43,34.79,7.25,19.1,LOW
297.52,57.06,84.47,14.12,20.07,HIGH
211.41,9.76,51.82,5.34,19.56,MODERATE
86.8,35.36,31.61,7.73,24.27,LOW
212.91,16.16,63.42,12.5,33.98,MODERATE
44.83,31.55,17.14,5.66,17.96,LOW
159.95,34.19,44.8,7.36,23.56,MODERATE
85.47,20.89,32.06,6.13,26.76,LOW
94.27,28.13,34.39,6.64,27.21,LOW
19.91,31.94,21.11,6.03,20.96,LOW
90.62,29.92,28.15,6.22,27.71,LOW
248.17,38.71,77.34,11.74,26.52,HIGH
149.53,36.45,46.48,8.64,21.29,MODERATE
75.39,53.3,32.75,14.46,15.88,MODERATE
54.45,33.81,24.02,7.92,17.14,LOW
107.98,23.94,40.64,6.11,28.48,MODERATE
149.45,15.53,61.25,8.39,32.56,MODERATE
11.93,33.07,14.59,4.84,24.0,LOW
78.82,34.05,27.99,7.93,32.41,LOW
139.89,57.34,39.13,9.1,23.69,MODERATE
256.33,51.66,70.92,11.8,17.13,HIGH
57.2,31.64,27.01,7.67,22.74,LOW
148.12,39.76,48.0,8.31,32.95,MODERATE
237.79,34.71,71.06,11.88,20.38,HIGH
104.82,31.6,40.8,7.97,23.18,MODERATE
176.58,48.37,53.67,9.89,31.11,MODERATE
52.51,36.09,42.18,7.81,30.7,MODERATE
233.05,32.32,71.8,12.88,25.84,MODERATE
40.26,40.89,15.14,5.67,27.21,LOW
104.4,21.61,25.61,5.98,30.38,LOW
165.72,9.69,45.89,6.48,25.85,LOW
89.73,35.51,35.96,10.26,31.68,MODERATE
69.95,39.11,24.15,7.72,28.03,LOW
164.75,49.89,46.22,10.0,23.11,MODERATE
103.67,35.71,38.02,10.1,26.61,LOW
124.78,39.6,39.72,9.79,21.69,MODERATE
112.96,48.96,23.47,8.67,18.21,MODERATE
40.72,27.74,32.58,5.43,17.15,LOW
159.45,24.75,56.84,7.72,22.76,MODERATE
129.53,37.62,33.22,7.92,25.88,LOW
144.41,36.31,47.23,8.52,34.81,MODERATE
45.26,30.19,16.02,4.88,26.5,LOW
188.17,11.4,51.53,5.5,25.15,LOW
118.33,13.0,44.92,6.1,23.4,LOW
136.34,19.19,51.47,6.54,21.86,LOW
49.06,43.0,32.09,7.26,24.78,MODERATE
37.5,33.91,25.21,6.17,22.35,LOW
31.12,22.66,32.05,7.14,22.05,LOW
156.88,31.11,44.63,7.68,28.92,MODERATE
181.39,35.13,51.8,8.02,18.56,MODERATE
160.05,36.99,29.45,6.24,22.5,MODERATE
122.59,14.68,41.22,5.8,19.87,LOW
206.28,48.99,65.02,12.47,24.71,HIGH
117.37,27.11,43.1,7.75,29.12,LOW
157.02,28.67,44.55,6.83,26.1,MODERATE
123.0,23.62,48.82,7.13,22.67,LOW
142.6,27.33,45.78,9.29,29.64,MODERATE
155.09,36.65,55.25,8.38,29.3,MODERATE
169.01,40.76,56.07,9.7,24.24,MODERATE
57.27,38.6,38.99,7.64,33.56,MODERATE
63.31,19.17,31.64,4.65,26.52,LOW
62.73,40.16,33.68,6.79,26.35,LOW
78.93,45.24,31.75,8.28,16.78,LOW
46.33,33.87,21.17,5.11,13.9,LOW
164.57,31.6,55.13,7.73,24.38,MODERATE
151.21,26.27,60.29,8.09,29.98,MODERATE
82.64,39.64,28.25,6.29,25.97,LOW
272.97,41.43,73.07,10.76,29.71,MODERATE
103.09,8.98,37.89,4.14,21.52,LOW
98.25,37.05,42.09,7.72,24.49,LOW
271.33,39.97,77.46,12.54,24.1,HIGH
57.07,19.39,34.86,6.2,13.19,LOW
123.77,15.62,58.02,7.09,34.73,LOW
163.07,39.46,45.76,7.75,31.19,MODERATE
127.22,35.57,47.87,8.83,29.57,LOW
163.6,35.61,53.56,8.11,31.71,MODERATE
214.72,53.72,62.39,10.48,21.2,HIGH
284.09,53.78,82.35,13.6,28.77,HIGH
174.64,34.71,51.29,11.22,21.18,MODERATE
163.85,52.07,53.63,10.42,24.89,MODERATE
200.46,41.3,48.66,8.09,13.55,MODERATE
23.9,36.25,15.95,8.08,23.11,LOW
125.7,34.27,51.03,7.61,14.82,MODERATE
135.39,35.99,52.86,10.86,16.48,MODERATE
106.43,42.07,40.49,8.19,23.68,MODERATE
270.46,65.0,70.88,12.85,19.75,HIGH
92.35,30.35,41.92,7.56,26.03,MODERATE
100.71,40.11,47.05,12.5,34.05,MODERATE
76.59,39.25,28.55,9.64,20.27,LOW
26.03,22.95,10.0,4.05,22.41,LOW
12.51,23.02,21.35,5.8,27.99,LOW
125.12,38.89,49.84,9.18,19.98,MODERATE
50.3,22.21,30.77,6.46,19.71,LOW
130.91,46.54,56.32,11.81,21.33,MODERATE
90.18,27.37,47.39,6.58,29.29,MODERATE
116.65,28.99,38.22,6.55,13.39,LOW
169.46,29.78,53.87,12.09,18.92,MODERATE
113.31,48.3,35.96,12.18,33.19,MODERATE
82.46,35.2,24.96,5.53,5.41,LOW
155.85,25.47,41.58,6.21,23.24,MODERATE
25.37,33.86,26.32,13.11,33.18,LOW
166.57,36.52,54.07,9.0,35.46,MODERATE
254.98,17.11,78.22,9.24,28.8,MODERATE
165.18,49.63,71.59,10.96,31.03,MODERATE
13.56,21.4,21.98,7.27,18.31,LOW
97.1,37.97,30.06,6.6,18.8,MODERATE
68.29,38.32,38.31,7.21,34.28,MODERATE
222.63,36.73,57.53,8.66,22.42,MODERATE
88.95,29.91,48.56,10.66,12.74,LOW
84.11,63.85,17.73,9.62,26.51,MODERATE
69.73,15.17,25.97,5.79,22.85,LOW
256.93,28.44,76.5,9.67,24.49,HIGH
117.99,37.25,50.38,11.35,9.71,MODERATE
150.07,12.6,42.6,7.0,8.11,LOW
89.72,35.38,27.87,7.85,25.82,LOW
172.74,36.01,54.19,13.24,22.18,MODERATE
221.26,29.17,78.95,9.92,21.26,MODERATE
16.46,39.29,10.0,6.15,26.34,LOW
229.62,29.77,63.0,11.63,19.33,MODERATE
99.04,48.75,38.87,10.33,22.41,MODERATE
147.92,31.45,41.18,7.68,21.31,MODERATE
71.92,45.47,24.43,6.62,29.31,MODERATE
273.97,18.44,73.41,9.3,12.73,MODERATE
34.02,24.21,24.83,5.53,20.12,LOW
121.73,14.9,40.22,5.01,30.54,LOW
240.58,54.18,79.65,15.0,18.98,HIGH
110.97,27.82,44.15,6.95,24.72,MODERATE
99.8,32.5,40.02,7.19,34.02,MODERATE
174.5,22.35,61.61,8.84,24.95,MODERATE
190.03,64.77,60.01,12.28,36.84,HIGH
114.16,31.92,36.57,6.26,32.4,MODERATE
